CountryIsoCode,Country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,76.989,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,76.463,
ALB,Albania,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,76.833,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,9.996,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,9.986,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,9.977,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,10.025,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,10.073,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,10.121,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,10.121,
ALB,Albania,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,10.121,
ALB,Albania,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,74,
AND,Andorra,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,35,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,10.573,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,10.556,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,10.732,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,10.909,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,11.085,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.261,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,11.437,
AND,Andorra,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,11.613,
AND,Andorra,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,82.953,
